Training on dataset data/CE_train_E1.h5
cuda:0
models/GNN_CE_E1_xresolution100-200_n0_tw25_unrolling2_time11141146.pt
Number of parameters: 1031645
Training started at: 2024-11-14 11:46:01
Epoch 0
Starting epoch 0...
Training Loss (progress: 0.00): 1.3378899763293925
Training Loss (progress: 0.10): 0.6617447554099853
Training Loss (progress: 0.20): 0.649464366018753
Training Loss (progress: 0.30): 0.5837106180281442
Training Loss (progress: 0.40): 0.5831107051378603
Training Loss (progress: 0.50): 0.5339476438296491
Training Loss (progress: 0.60): 0.5089652453040102
Training Loss (progress: 0.70): 0.48800509523854346
Training Loss (progress: 0.80): 0.47042944928517555
Training Loss (progress: 0.90): 0.45392677585177493
Evaluation on validation dataset:
Step 25, mean loss 0.5190027410683317
Step 50, mean loss 1.0472753997080657
Step 75, mean loss 1.8660526155279638
Step 100, mean loss 2.537293740155122
Step 125, mean loss 2.655944947574591
Step 150, mean loss 3.237792095884287
Step 175, mean loss 4.041526526570633
Step 200, mean loss 4.985994845359738
Step 225, mean loss 5.323686468474101
Unrolled forward losses 150.08351962678205
Unrolled forward base losses 2.927822615141285
Evaluation on test dataset:
Step 25, mean loss 0.5627680530726556
Step 50, mean loss 1.5012534736028285
Step 75, mean loss 2.3730196802054
Step 100, mean loss 3.6740465929164867
Step 125, mean loss 4.22244563034706
Step 150, mean loss 4.256464527484589
Step 175, mean loss 4.373741101324963
Step 200, mean loss 4.868849684436151
Step 225, mean loss 4.982466903529346
Unrolled forward losses 153.31917197787212
Unrolled forward base losses 3.162220099443931
Saved model at models/GNN_CE_E1_xresolution100-200_n0_tw25_unrolling2_time11141146.pt
Training time:  1:14:13.298894 

Epoch 1
Starting epoch 1...
Training Loss (progress: 0.00): 1.1029489049193648
Training Loss (progress: 0.10): 1.039318451745907
Training Loss (progress: 0.20): 0.9580569883612857
Training Loss (progress: 0.30): 0.8248225138155525
Training Loss (progress: 0.40): 0.9169330612951054
Training Loss (progress: 0.50): 0.790145884742729
Training Loss (progress: 0.60): 0.7213266191098785
Training Loss (progress: 0.70): 0.716122092602765
Training Loss (progress: 0.80): 0.7547366271403722
Training Loss (progress: 0.90): 0.7188077959461536
Evaluation on validation dataset:
Step 25, mean loss 0.7223363339998463
Step 50, mean loss 1.407140242766844
Step 75, mean loss 1.7312742617374943
Step 100, mean loss 2.152303817409445
Step 125, mean loss 2.488065715593115
Step 150, mean loss 2.5872196825946343
Step 175, mean loss 3.3929745152960926
Step 200, mean loss 3.7593901405145527
Step 225, mean loss 4.246567975755955
Unrolled forward losses 35.52801255876972
Unrolled forward base losses 2.927822615141285
Evaluation on test dataset:
Step 25, mean loss 0.7213873362357417
Step 50, mean loss 1.5155808479789663
Step 75, mean loss 2.129853460418732
Step 100, mean loss 2.4720404635893836
Step 125, mean loss 2.9986822553240993
Step 150, mean loss 3.2134255601305535
Step 175, mean loss 3.179973950981662
Step 200, mean loss 3.5832576890582386
Step 225, mean loss 3.8184267142478774
Unrolled forward losses 36.618068980555066
Unrolled forward base losses 3.162220099443931
Saved model at models/GNN_CE_E1_xresolution100-200_n0_tw25_unrolling2_time11141146.pt
Training time:  2:32:44.469675 

Epoch 2
Starting epoch 2...
Training Loss (progress: 0.00): 1.04869359127918
Training Loss (progress: 0.10): 1.0257101850798835
Training Loss (progress: 0.20): 0.9629874226016036
Training Loss (progress: 0.30): 0.9800497564918729
Training Loss (progress: 0.40): 0.9259564066818621
Training Loss (progress: 0.50): 0.941713233308271
Training Loss (progress: 0.60): 0.8802678552718433
Training Loss (progress: 0.70): 0.8686659142844645
Training Loss (progress: 0.80): 0.8974691215334547
Training Loss (progress: 0.90): 0.8956445036524036
Evaluation on validation dataset:
Step 25, mean loss 0.6314685304287664
Step 50, mean loss 1.0105656541635568
Step 75, mean loss 1.4183393947881555
Step 100, mean loss 1.723732564485326
Step 125, mean loss 1.8684352930174766
Step 150, mean loss 1.8708370638754985
Step 175, mean loss 2.6029975038360247
Step 200, mean loss 2.60459475160654
Step 225, mean loss 3.0988889513260736
Unrolled forward losses 20.197677869091727
Unrolled forward base losses 2.927822615141285
Evaluation on test dataset:
Step 25, mean loss 0.6007349577993631
Step 50, mean loss 1.2925279865536887
Step 75, mean loss 1.3402446213913615
Step 100, mean loss 1.7443001186193978
Step 125, mean loss 2.1675122097137756
Step 150, mean loss 2.450583706810985
Step 175, mean loss 2.4156599976584188
Step 200, mean loss 2.709193267479682
Step 225, mean loss 3.107500676247751
Unrolled forward losses 23.589950488402465
Unrolled forward base losses 3.162220099443931
Saved model at models/GNN_CE_E1_xresolution100-200_n0_tw25_unrolling2_time11141146.pt
Training time:  3:54:07.396407 

Epoch 3
Starting epoch 3...
Training Loss (progress: 0.00): 0.8397684350155933
Training Loss (progress: 0.10): 0.8698501398933691
Training Loss (progress: 0.20): 0.8401954836522084
Training Loss (progress: 0.30): 0.8758797653856542
Training Loss (progress: 0.40): 0.8928554424477477
Training Loss (progress: 0.50): 0.8149621277051873
Training Loss (progress: 0.60): 0.8417801257581987
Training Loss (progress: 0.70): 0.8238371199620838
Training Loss (progress: 0.80): 0.8507489682035958
Training Loss (progress: 0.90): 0.7714371154526424
Evaluation on validation dataset:
Step 25, mean loss 0.5638528744214082
Step 50, mean loss 0.8407386436636068
Step 75, mean loss 1.3254424116087584
Step 100, mean loss 1.5843490150013122
Step 125, mean loss 1.674104202969418
Step 150, mean loss 1.6083546325153422
Step 175, mean loss 2.258307246806112
Step 200, mean loss 2.3202132126556814
Step 225, mean loss 2.913633305958907
Unrolled forward losses 18.219937034812627
Unrolled forward base losses 2.927822615141285
Evaluation on test dataset:
Step 25, mean loss 0.6015900894584756
Step 50, mean loss 1.1068215044257235
Step 75, mean loss 1.2224734855214174
Step 100, mean loss 1.4704691084002994
Step 125, mean loss 1.6637636379526057
Step 150, mean loss 1.9626897598366768
Step 175, mean loss 2.1323853590170754
Step 200, mean loss 2.3417133129868173
Step 225, mean loss 2.964665807798808
Unrolled forward losses 19.913637330759236
Unrolled forward base losses 3.162220099443931
Saved model at models/GNN_CE_E1_xresolution100-200_n0_tw25_unrolling2_time11141146.pt
Training time:  5:15:45.318642 

Epoch 4
