Training on dataset data/CE_train_E1.h5
cuda:0
models/GNN_CE_E1_xresolution100-200_n100_tw25_unrolling2_time11122040.pt
Number of parameters: 1031645
Training started at: 2024-11-12 20:40:51
Epoch 0
Starting epoch 0...
Training Loss (progress: 0.00): 1.3943501279773665
Training Loss (progress: 0.10): 0.5652539585470313
Training Loss (progress: 0.20): 0.4403655073451095
Training Loss (progress: 0.30): 0.3014864373470175
Training Loss (progress: 0.40): 0.2680070261718506
Training Loss (progress: 0.50): 0.23111216198781218
Training Loss (progress: 0.60): 0.19372660167537314
Training Loss (progress: 0.70): 0.1718978364077774
Training Loss (progress: 0.80): 0.1628573523904177
Training Loss (progress: 0.90): 0.15122827057094207
Evaluation on validation dataset:
Step 25, mean loss 0.17594273042593334
Step 50, mean loss 0.21898967484759646
Step 75, mean loss 0.21094423012846752
Step 100, mean loss 0.3358823341376401
Step 125, mean loss 0.25456797534178327
Step 150, mean loss 0.35853975572598784
Step 175, mean loss 0.5550077843277719
Step 200, mean loss 0.600885351955071
Step 225, mean loss 0.6150221649673714
Unrolled forward losses 40.493896674861446
Unrolled forward base losses 2.927822615141285
Evaluation on test dataset:
Step 25, mean loss 0.21044207802853795
Step 50, mean loss 0.2591362506863268
Step 75, mean loss 0.26095070887452976
Step 100, mean loss 0.34741404924947283
Step 125, mean loss 0.4366484796779415
Step 150, mean loss 0.29076501987092723
Step 175, mean loss 0.3971050588133128
Step 200, mean loss 0.6023220096780968
Step 225, mean loss 0.681224927842092
Unrolled forward losses 41.15766319145236
Unrolled forward base losses 3.162220099443931
Saved model at models/GNN_CE_E1_xresolution100-200_n100_tw25_unrolling2_time11122040.pt
Training time:  1:20:00.603910 

Epoch 1
Starting epoch 1...
Training Loss (progress: 0.00): 0.3907570140602129
Training Loss (progress: 0.10): 0.34093095005312346
Training Loss (progress: 0.20): 0.32932414852187886
Training Loss (progress: 0.30): 0.3100665858862414
Training Loss (progress: 0.40): 0.31329349161699194
Training Loss (progress: 0.50): 0.25579279934148147
Training Loss (progress: 0.60): 0.2645057928394349
Training Loss (progress: 0.70): 0.2363458515177261
Training Loss (progress: 0.80): 0.22123434305708747
Training Loss (progress: 0.90): 0.21744069797898447
Evaluation on validation dataset:
Step 25, mean loss 0.1732618381999662
Step 50, mean loss 0.21688460094414996
Step 75, mean loss 0.1836749886065958
Step 100, mean loss 0.23262626316990098
Step 125, mean loss 0.2516078092781484
Step 150, mean loss 0.31603078181033073
Step 175, mean loss 0.317468944627613
Step 200, mean loss 0.3670053656068302
Step 225, mean loss 0.366275466398296
Unrolled forward losses 6.170049620754866
Unrolled forward base losses 2.927822615141285
Evaluation on test dataset:
Step 25, mean loss 0.18723463939331214
Step 50, mean loss 0.2141283646264935
Step 75, mean loss 0.20976654007928297
Step 100, mean loss 0.27584725369607965
Step 125, mean loss 0.47384230735906085
Step 150, mean loss 0.27476274070966655
Step 175, mean loss 0.3100336733870365
Step 200, mean loss 0.4212524957248402
Step 225, mean loss 0.5115673727048908
Unrolled forward losses 7.859020702756835
Unrolled forward base losses 3.162220099443931
Saved model at models/GNN_CE_E1_xresolution100-200_n100_tw25_unrolling2_time11122040.pt
Training time:  2:46:11.761121 

Epoch 2
Starting epoch 2...
Training Loss (progress: 0.00): 0.3020874848070876
Training Loss (progress: 0.10): 0.29748127327997376
Training Loss (progress: 0.20): 0.2632507568216867
Training Loss (progress: 0.30): 0.2785922301790612
Training Loss (progress: 0.40): 0.30815492502015174
Training Loss (progress: 0.50): 0.27120187298557674
Training Loss (progress: 0.60): 0.28022482651450176
Training Loss (progress: 0.70): 0.25680546281044553
Training Loss (progress: 0.80): 0.2722660934567333
Training Loss (progress: 0.90): 0.2501968718782498
Evaluation on validation dataset:
Step 25, mean loss 0.17836131412375672
Step 50, mean loss 0.15440279860701633
Step 75, mean loss 0.14230726948313122
Step 100, mean loss 0.15746863230659447
Step 125, mean loss 0.18269075671577406
Step 150, mean loss 0.1977745412513042
Step 175, mean loss 0.24044603331676365
Step 200, mean loss 0.312071915702482
Step 225, mean loss 0.30665915184271697
Unrolled forward losses 4.082880840108466
Unrolled forward base losses 2.927822615141285
Evaluation on test dataset:
Step 25, mean loss 0.17774481411858428
Step 50, mean loss 0.14816075829827657
Step 75, mean loss 0.15641553365493244
Step 100, mean loss 0.18178831291936454
Step 125, mean loss 0.30763585010907746
Step 150, mean loss 0.20646336667809753
Step 175, mean loss 0.22326594140226663
Step 200, mean loss 0.30702138313168914
Step 225, mean loss 0.4038517162490612
Unrolled forward losses 5.503659520123973
Unrolled forward base losses 3.162220099443931
Saved model at models/GNN_CE_E1_xresolution100-200_n100_tw25_unrolling2_time11122040.pt
Training time:  4:18:30.334753 

Epoch 3
Starting epoch 3...
Training Loss (progress: 0.00): 0.2657585098655168
Training Loss (progress: 0.10): 0.23640608978674849
Training Loss (progress: 0.20): 0.24779782265763595
Training Loss (progress: 0.30): 0.24052947286939122
Training Loss (progress: 0.40): 0.24918175624699349
Training Loss (progress: 0.50): 0.22976209864559166
Training Loss (progress: 0.60): 0.2325641310433319
Training Loss (progress: 0.70): 0.23105734586578514
Training Loss (progress: 0.80): 0.23124832197323855
Training Loss (progress: 0.90): 0.22545694388102414
Evaluation on validation dataset:
Step 25, mean loss 0.17572273274253658
Step 50, mean loss 0.13114803579349776
Step 75, mean loss 0.14666361023281946
Step 100, mean loss 0.14151499574402532
Step 125, mean loss 0.16952354452026497
Step 150, mean loss 0.18061101204348062
Step 175, mean loss 0.2348062970314606
Step 200, mean loss 0.3356558748256173
Step 225, mean loss 0.2925271752061169
Unrolled forward losses 3.89047024612834
Unrolled forward base losses 2.927822615141285
Evaluation on test dataset:
Step 25, mean loss 0.17494585785025107
Step 50, mean loss 0.12736027311670706
Step 75, mean loss 0.16647003909471875
Step 100, mean loss 0.1826017009710207
Step 125, mean loss 0.29420474824816045
Step 150, mean loss 0.20222328921637828
Step 175, mean loss 0.22471107527328188
Step 200, mean loss 0.28766437311152004
Step 225, mean loss 0.3730777768708232
Unrolled forward losses 5.437908510084208
Unrolled forward base losses 3.162220099443931
Saved model at models/GNN_CE_E1_xresolution100-200_n100_tw25_unrolling2_time11122040.pt
Training time:  5:51:29.744832 

Epoch 4
Starting epoch 4...
Training Loss (progress: 0.00): 0.23020096987071312
Training Loss (progress: 0.10): 0.2202343397557734
Training Loss (progress: 0.20): 0.23068096850357678
Training Loss (progress: 0.30): 0.21174134205282108
Training Loss (progress: 0.40): 0.2009959332036055
Training Loss (progress: 0.50): 0.22184829568187248
Training Loss (progress: 0.60): 0.22769471762682328
Training Loss (progress: 0.70): 0.20836188701779565
Training Loss (progress: 0.80): 0.1978835836571481
Training Loss (progress: 0.90): 0.21247594905149478
Evaluation on validation dataset:
Step 25, mean loss 0.12462593847128609
Step 50, mean loss 0.10421549807216143
Step 75, mean loss 0.10780841461948329
Step 100, mean loss 0.10659036998894075
Step 125, mean loss 0.13738600076204094
Step 150, mean loss 0.1647834410300137
Step 175, mean loss 0.1799770426550091
Step 200, mean loss 0.29596604177885255
Step 225, mean loss 0.22694778885090494
Unrolled forward losses 2.9311642699355662
Unrolled forward base losses 2.927822615141285
Evaluation on test dataset:
Step 25, mean loss 0.13123153546378152
Step 50, mean loss 0.1034546271275801
Step 75, mean loss 0.10941207054390105
Step 100, mean loss 0.14443629307575745
Step 125, mean loss 0.23860845962300226
Step 150, mean loss 0.16152650586413386
Step 175, mean loss 0.1862049802748836
Step 200, mean loss 0.23359369760590565
Step 225, mean loss 0.32284565747156574
Unrolled forward losses 3.9822623474791814
Unrolled forward base losses 3.162220099443931
Saved model at models/GNN_CE_E1_xresolution100-200_n100_tw25_unrolling2_time11122040.pt
Training time:  7:25:02.087442 

Epoch 5
Starting epoch 5...
Training Loss (progress: 0.00): 0.1887277576733614
Training Loss (progress: 0.10): 0.20073240578334048
Training Loss (progress: 0.20): 0.2101278904903557
Training Loss (progress: 0.30): 0.1731252808878426
Training Loss (progress: 0.40): 0.17303422222157616
Training Loss (progress: 0.50): 0.18211998709127566
Training Loss (progress: 0.60): 0.17663444659959823
Training Loss (progress: 0.70): 0.17035473758132783
Training Loss (progress: 0.80): 0.18132989637898647
Training Loss (progress: 0.90): 0.17415745095458032
Evaluation on validation dataset:
Step 25, mean loss 0.10617658922538226
Step 50, mean loss 0.09939118805438604
Step 75, mean loss 0.10702343072025822
Step 100, mean loss 0.10576563915558046
Step 125, mean loss 0.13194524883668377
Step 150, mean loss 0.15166196792460346
Step 175, mean loss 0.18588022984708988
Step 200, mean loss 0.30162238417525744
Step 225, mean loss 0.2190234575764683
Unrolled forward losses 2.6400476634446113
Unrolled forward base losses 2.927822615141285
Evaluation on test dataset:
Step 25, mean loss 0.11174184741183862
Step 50, mean loss 0.10009109642286884
Step 75, mean loss 0.10552618169051597
Step 100, mean loss 0.13825745128049174
Step 125, mean loss 0.20375818902175813
Step 150, mean loss 0.15516525800425546
Step 175, mean loss 0.1677465117160362
Step 200, mean loss 0.20279886378998974
Step 225, mean loss 0.29220808394465425
Unrolled forward losses 3.403629183322612
Unrolled forward base losses 3.162220099443931
Saved model at models/GNN_CE_E1_xresolution100-200_n100_tw25_unrolling2_time11122040.pt
Training time:  8:58:48.895793 

Epoch 6
Starting epoch 6...
Training Loss (progress: 0.00): 0.19253549952108973
Training Loss (progress: 0.10): 0.1872702829126319
Training Loss (progress: 0.20): 0.15926303049263102
Training Loss (progress: 0.30): 0.17918260439356834
Training Loss (progress: 0.40): 0.1801487291088443
Training Loss (progress: 0.50): 0.16299400074289241
Training Loss (progress: 0.60): 0.1731259246715951
Training Loss (progress: 0.70): 0.1735610149007598
Training Loss (progress: 0.80): 0.16122079355207955
Training Loss (progress: 0.90): 0.16226136783057638
Evaluation on validation dataset:
Step 25, mean loss 0.09746968991258165
Step 50, mean loss 0.09631773797286859
Step 75, mean loss 0.09217086170140412
Step 100, mean loss 0.09838284567192938
Step 125, mean loss 0.12155006299896902
Step 150, mean loss 0.1471417695333055
Step 175, mean loss 0.18315574416911345
Step 200, mean loss 0.30915447221571674
Step 225, mean loss 0.2116536816728399
Unrolled forward losses 2.389016972464405
Unrolled forward base losses 2.927822615141285
Evaluation on test dataset:
Step 25, mean loss 0.10107102540697444
Step 50, mean loss 0.08994474245505812
Step 75, mean loss 0.10287252664014347
