Training on dataset data/CE_train_E1.h5
cuda:0
models/GNN_CE_E1_xresolution100-200_n24_tw25_unrolling2_time116219.pt
Number of parameters: 1031645
Training started at: 2024-11-06 21:09:24
Epoch 0
Starting epoch 0...
Training Loss (progress: 0.00): 1.3181212219014893
Training Loss (progress: 0.10): 0.5419146210134709
Training Loss (progress: 0.20): 0.3535906946390749
Training Loss (progress: 0.30): 0.283469927546295
Training Loss (progress: 0.40): 0.23880873161734997
Training Loss (progress: 0.50): 0.20084173676877165
Training Loss (progress: 0.60): 0.18092471961178705
Training Loss (progress: 0.70): 0.16574783139992486
Training Loss (progress: 0.80): 0.15071948158951606
Training Loss (progress: 0.90): 0.13295632328584822
Evaluation on validation dataset:
Step 25, mean loss 0.18451683367843993
Step 50, mean loss 0.2606712072774907
Step 75, mean loss 0.19454059169446822
Step 100, mean loss 0.31641659057538063
Step 125, mean loss 0.2830658365766047
Step 150, mean loss 0.3204676931668402
Step 175, mean loss 0.5255655716710022
Step 200, mean loss 0.5962984578295101
Step 225, mean loss 0.48026392350965696
Unrolled forward losses 25.16056977527712
Unrolled forward base losses 2.927822615141285
Evaluation on test dataset:
Step 25, mean loss 0.18060749911888108
Step 50, mean loss 0.24598652003823612
Step 75, mean loss 0.2460060240248801
Step 100, mean loss 0.32617766222036354
Step 125, mean loss 0.4657782267718203
Step 150, mean loss 0.3020854511415273
Step 175, mean loss 0.37218604876812666
Step 200, mean loss 0.5720615725018252
Step 225, mean loss 0.5520945201388826
Unrolled forward losses 27.422886618286228
Unrolled forward base losses 3.162220099443931
Saved model at models/GNN_CE_E1_xresolution100-200_n24_tw25_unrolling2_time116219.pt

Training time:  13:53:21.631663
Epoch 1
Starting epoch 1...
Training Loss (progress: 0.00): 0.29972075220653766
Training Loss (progress: 0.10): 0.27651699376970446
Training Loss (progress: 0.20): 0.25858211662054786
Training Loss (progress: 0.30): 0.22810984264291748
Training Loss (progress: 0.40): 0.21795627545142576
Training Loss (progress: 0.50): 0.21345391582948228
Training Loss (progress: 0.60): 0.22821658209594473
Training Loss (progress: 0.70): 0.21814755745765468
Training Loss (progress: 0.80): 0.20716989633889388
Training Loss (progress: 0.90): 0.20720560002567057
Evaluation on validation dataset:
Step 25, mean loss 0.13711041270260946
Step 50, mean loss 0.12673848069995797
